timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
103710991,7E:8A:AE:D6:C8:CD,30464,-90.00,-71,-81,0 0 -18 1 -21 0 -19 2 -19 3 -17 4 -16 4 -14 4 -12 2 -11 1 -10 -2 -10 -3 -10 -5 -11 -5 -13 -7 -14 -7 -14 -8 -16 -7 -17 -6 -16 -5 -15 -4 -14 -4 -12 -3 -11 -3 -9 -4 -7 -5 -5 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 11 -5 10 -6 9 -6 7 -6 5 -7 4 -9 3 -10 1 -12 2 -13 2 -15 3 -16 3 -16 4 -15 5 -15 7 -14 7 -12 8 -11 8 -10 7 -9 6 -10 4 -9 1 -10 0 -11 -1 -14 -2 -16 -2,0 0 4 0 3 3 1 4 1 3 3 5 4 8 5 8 7 8 8 4 9 4 8 -1 8 -3 6 -5 4 -7 0 -9 -2 -8 -5 -8 -11 -6 -10 -7 -13 -5 -11 0 -10 -1 -8 3 -5 4 -2 4 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -22 6 -20 8 -20 9 -18 12 -17 12 -15 15 -16 14 -15 14 -15 13 -13 15 -12 15 -10 15 -10 16 -6 12 -6 12 -4 12 -4 14 -3 13 -4 17 -5 15 -3 16 -4 11 -4 13 -4 12 -6 8 -2
103758861,7E:8A:AE:D6:C8:CD,30480,-90.00,-71,-82,0 0 15 7 17 7 17 6 17 5 16 3 15 2 13 2 11 2 9 4 8 4 7 6 7 7 7 8 8 11 8 11 9 12 10 13 10 11 11 11 10 10 10 8 8 7 7 6 4 6 2 6 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -8 9 -7 8 -6 7 -5 8 -3 8 -1 8 0 10 2 10 3 11 3 13 3 15 3 15 2 15 0 15 0 15 -1 13 -3 12 -4 11 -3 10 -2 8 0 8 2 8 3 9 5 11 6 13 8,0 0 2 5 1 2 -1 1 -3 3 -4 2 -7 4 -8 5 -7 9 -5 9 -7 9 -1 9 5 10 6 6 9 9 9 3 9 0 11 -3 7 -4 7 -7 8 -13 4 -10 0 -9 -1 -8 -2 -4 -7 -2 -5 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 -9 20 -6 19 -5 20 -2 22 1 20 3 21 4 20 5 20 5 19 7 18 7 15 11 14 9 14 10 8 8 9 10 7 13 8 12 8 13 5 14 7 14 7 13 8 11 7 13 8 11 9 9
103835677,7E:8A:AE:D6:C8:CD,0,-90.00,-71,-81,0 0 -19 -8 -20 -8 -21 -8 -19 -5 -18 -4 -18 -2 -15 -3 -13 -3 -11 -4 -10 -4 -9 -7 -8 -9 -8 -9 -10 -12 -10 -12 -11 -14 -13 -13 -13 -12 -13 -11 -13 -10 -12 -9 -11 -7 -9 -7 -6 -6 -4 -7 -3 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 8 -10 7 -9 6 -9 4 -8 2 -9 0 -9 -2 -11 -3 -12 -3 -13 -3 -15 -4 -16 -3 -19 -2 -17 -1 -17 0 -17 2 -16 3 -13 2 -13 3 -11 1 -11 -1 -10 -3 -10 -4 -10 -6 -13 -7 -14 -9,0 0 6 4 4 5 -1 2 -1 3 -4 3 -5 5 -5 6 -8 8 -9 9 -4 14 -4 13 2 13 4 15 6 11 6 9 8 6 10 2 12 -1 12 -2 12 -5 5 -6 6 -8 -3 -8 -3 -8 -7 -3 -7 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -16 7 -15 12 -16 12 -15 16 -13 16 -10 17 -9 19 -10 17 -7 21 -8 22 -5 21 -1 16 -1 17 0 11 2 11 5 9 7 12 8 10 9 13 9 14 7 12 9 10 11 11 8 13 11 9 6
103882789,7E:8A:AE:D6:C8:CD,30512,-90.00,-70,-80,0 0 17 7 18 9 18 7 18 5 16 4 16 3 14 2 12 3 10 3 9 5 7 6 7 8 7 9 8 11 10 11 10 12 12 12 12 11 12 10 12 9 11 8 9 7 7 6 6 6 4 6 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -6 10 -6 9 -4 9 -4 8 -2 8 0 8 2 9 3 10 5 11 5 13 5 15 6 16 5 16 3 16 1 15 0 14 -2 13 -2 11 -2 11 0 10 1 8 2 9 4 10 6 11 8 13 9,0 0 7 -8 4 -4 5 -2 4 -1 6 -1 8 2 9 4 9 4 12 6 12 4 10 -1 10 -3 10 -7 10 -8 7 -10 3 -9 -1 -11 -3 -10 -6 -8 -8 -7 -7 -4 -7 -2 -6 -1 -5 4 0 5 3 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -18 -9 -17 -7 -20 -5 -20 -1 -19 -1 -20 2 -18 1 -21 1 -23 1 -19 3 -20 6 -20 5 -16 5 -15 6 -14 8 -13 8 -12 9 -12 11 -11 13 -11 11 -11 13 -12 10 -12 8 -11 13 -12 9 -13
106164790,7E:8A:AE:D6:C8:CD,30832,26.57,-71,-73,0 0 1 18 2 20 4 17 4 15 5 14 4 13 4 11 2 10 1 8 -1 8 -2 9 -3 10 -3 11 -3 13 -3 14 -3 15 -1 16 -1 15 1 13 2 13 2 11 1 10 0 8 0 6 -2 5 -4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 6 12 5 10 5 9 6 7 7 4 8 3 10 3 12 2 14 2 14 3 17 3 17 5 18 6 16 7 16 8 14 7 13 7 11 6 10 5 10 3 10 0 10 -1 11 -1 12 -1 15 -2 17,0 0 -16 4 -16 6 -15 6 -15 6 -12 7 -12 7 -10 7 -9 6 -9 6 -8 4 -8 3 -8 3 -8 3 -9 2 -9 2 -10 3 -10 3 -9 2 -9 3 -9 4 -9 3 -7 2 -7 3 -6 2 -6 0 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 13 -8 13 -8 13 -8 11 -9 9 -10 7 -11 6 -13 5 -14 5 -15 5 -17 5 -18 7 -18 8 -17 9 -15 9 -16 10 -13 9 -13 10 -11 9 -10 9 -11 7 -11 6 -11 4 -12 4 -13 3 -15 4
106192175,7E:8A:AE:D6:C8:CD,30832,40.83,-71,-73,0 0 16 5 17 4 17 3 16 1 15 0 13 -1 11 0 9 0 8 2 7 3 7 4 7 6 9 6 10 8 11 8 12 7 13 6 13 5 13 4 13 2 11 2 9 2 6 2 5 2 3 3 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -11 9 -10 8 -9 8 -7 8 -4 9 -3 10 -1 12 0 13 1 14 2 16 2 18 2 18 1 18 -1 16 -2 16 -3 14 -4 14 -4 11 -2 10 -1 10 0 9 2 10 3 13 5 12 7 14 7,0 0 -9 13 -9 15 -7 15 -7 14 -5 13 -5 13 -4 12 -4 10 -4 11 -4 9 -4 8 -4 8 -4 8 -5 8 -5 8 -5 7 -5 9 -4 9 -4 8 -3 7 -4 7 -3 7 -2 6 -3 5 -3 6 -4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 17 -1 16 -1 15 -1 13 -3 12 -4 12 -6 11 -8 12 -10 11 -10 12 -11 14 -11 15 -11 17 -10 17 -9 18 -7 16 -5 16 -5 15 -3 14 -4 13 -4 12 -6 11 -6 10 -8 13 -8 10 -10 12
106228497,7E:8A:AE:D6:C8:CD,30832,-39.94,-70,-73,0 0 -7 17 -7 19 -6 18 -4 16 -2 14 -2 13 -2 10 -3 8 -6 6 -7 6 -8 6 -10 6 -11 8 -13 9 -12 10 -12 11 -12 13 -10 13 -8 13 -6 12 -5 11 -5 8 -4 6 -4 3 -5 1 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 7 10 7 8 7 6 7 4 8 2 9 0 11 -2 12 -3 14 -2 16 -2 18 -1 19 0 19 1 18 2 16 3 16 3 13 2 12 2 11 0 10 -3 10 -5 9 -6 10 -7 11 -9 14 -10 16,0 0 15 0 17 -2 15 -2 14 -3 13 -4 12 -4 12 -4 10 -3 10 -3 9 -2 9 -2 9 -1 9 -1 10 -1 9 -1 9 -2 9 -2 9 -2 8 -2 8 -2 7 -1 7 -2 6 -1 6 -1 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 -10 13 -9 12 -8 12 -7 12 -5 12 -3 12 -2 15 0 15 0 17 0 18 0 18 0 20 -1 19 -2 17 -4 17 -5 14 -6 15 -6 12 -5 13 -5 12 -3 12 -2 12 -1 11 0 15 0 16 0
106267419,7E:8A:AE:D6:C8:CD,30832,11.89,-71,-73,0 0 2 18 3 20 4 17 5 16 5 13 5 12 3 9 2 8 -1 7 -2 7 -4 9 -6 9 -7 11 -6 13 -6 15 -4 15 -3 16 -2 15 -1 15 1 14 1 11 0 9 -1 7 -2 5 -4 3 -5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -1 11 1 10 2 9 3 7 4 6 6 5 8 5 11 5 13 6 14 7 16 8 17 9 16 10 15 10 13 11 11 10 10 8 10 6 7 5 8 3 10 0 10 -1 12 0 14 -2 16 -1 18,0 0 -7 15 -5 15 -5 16 -4 15 -2 13 -2 12 -2 11 -3 11 -2 10 -2 9 -4 9 -4 8 -3 8 -3 8 -3 9 -2 8 -3 10 -1 9 -1 7 -3 8 -2 6 -2 6 -3 6 -2 6 -2 5 -4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 16 2 15 2 14 0 14 -1 13 -4 12 -4 13 -6 14 -7 14 -7 15 -9 16 -8 18 -7 19 -6 17 -4 17 -4 17 -2 15 -2 14 -2 13 -2 13 -2 13 -4 12 -5 11 -6 14 -6 12 -6 14
106304366,7E:8A:AE:D6:C8:CD,30832,-12.61,-70,-73,0 0 -18 -7 -19 -8 -18 -6 -17 -3 -15 -3 -14 -2 -10 -2 -9 -4 -7 -5 -5 -6 -5 -9 -6 -11 -6 -11 -9 -13 -10 -13 -11 -13 -13 -12 -11 -10 -12 -9 -12 -8 -10 -6 -9 -5 -8 -5 -4 -5 -2 -6 0 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 11 -8 10 -6 8 -8 6 -9 4 -9 1 -11 0 -13 -1 -15 -2 -16 -3 -19 -2 -18 -1 -18 -1 -18 1 -15 1 -15 3 -14 3 -12 4 -10 1 -10 -1 -10 -2 -10 -5 -9 -6 -9 -6 -13 -9 -15 -9,0 0 15 5 15 4 15 3 15 3 13 1 13 0 11 0 10 1 10 1 9 1 8 1 8 2 8 2 9 2 9 2 9 2 9 1 9 1 8 1 8 1 7 1 6 1 7 2 5 2 5 2 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -6 14 -5 14 -4 13 -3 13 -1 12 1 13 2 13 4 14 5 15 5 17 6 18 6 19 5 18 4 18 3 17 1 15 0 15 0 12 0 13 0 12 1 12 2 11 3 10 4 12 5 14 4
106390807,7E:8A:AE:D6:C8:CD,30832,-6.94,-71,-73,0 0 5 -17 3 -20 3 -17 2 -17 -1 -15 -1 -14 0 -12 2 -10 2 -9 4 -9 5 -8 6 -9 8 -9 8 -11 8 -13 7 -13 7 -15 6 -14 4 -14 2 -13 2 -12 2 -11 2 -8 3 -6 4 -4 4 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -9 -11 -9 -9 -9 -7 -10 -6 -10 -3 -10 -1 -11 0 -13 1 -15 1 -17 2 -17 1 -19 1 -19 -1 -18 -3 -18 -4 -17 -5 -14 -4 -15 -3 -12 -2 -11 0 -11 3 -10 4 -11 5 -11 6 -15 8 -17,0 0 -5 -17 -6 -18 -7 -16 -7 -16 -7 -13 -7 -13 -6 -12 -6 -12 -4 -12 -4 -9 -4 -10 -4 -9 -4 -10 -3 -10 -4 -10 -5 -11 -4 -10 -5 -10 -4 -9 -3 -8 -4 -8 -6 -8 -5 -6 -3 -7 -1 -7 -1 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -16 -10 -14 -9 -14 -8 -13 -6 -14 -3 -13 -3 -14 -2 -15 1 -18 -1 -18 0 -22 -3 -19 -4 -20 -5 -21 -6 -19 -7 -18 -8 -16 -8 -15 -8 -12 -7 -14 -5 -14 -3 -15 -2 -12 -4 -16 -4 -16 -2 -17
106432262,7E:8A:AE:D6:C8:CD,30832,8.16,-71,-73,0 0 -8 -17 -9 -18 -9 -16 -10 -13 -10 -13 -9 -11 -8 -9 -5 -9 -4 -9 -2 -8 -1 -10 -1 -11 -1 -12 -1 -15 -2 -15 -3 -15 -4 -16 -5 -15 -6 -14 -6 -12 -7 -10 -4 -10 -3 -7 -2 -6 0 -7 2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 0 -14 0 -12 -1 -11 -2 -10 -4 -9 -6 -9 -8 -9 -10 -9 -13 -9 -13 -10 -15 -12 -15 -13 -15 -13 -13 -13 -12 -13 -10 -13 -9 -12 -8 -10 -7 -8 -8 -7 -9 -5 -10 -4 -11 -4 -13 -5 -16 -6 -16,0 0 -1 -15 -2 -19 -2 -17 -3 -16 -4 -14 -5 -14 -4 -12 -4 -11 -4 -11 -3 -10 -2 -9 -2 -9 -2 -8 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -2 -10 -2 -8 -2 -8 -2 -8 -2 -7 -1 -6 0 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -13 -10 -12 -9 -13 -8 -12 -5 -12 -5 -12 -3 -13 -2 -14 0 -15 -1 -16 -1 -17 0 -19 -2 -21 -3 -19 -5 -18 -6 -18 -6 -16 -7 -16 -6 -13 -5 -13 -5 -12 -3 -12 -3 -11 -2 -12 0 -12 1 -14
106476861,7E:8A:AE:D6:C8:CD,30832,-90.00,-71,-73,0 0 -6 -17 -7 -19 -8 -17 -8 -15 -8 -13 -8 -13 -6 -10 -5 -10 -2 -9 -1 -10 1 -10 2 -11 2 -13 1 -14 0 -15 0 -16 -1 -16 -2 -16 -3 -15 -4 -13 -4 -11 -4 -9 -2 -7 0 -7 1 -5 3 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -2 -14 -2 -11 -2 -11 -4 -8 -5 -8 -7 -8 -8 -7 -11 -8 -13 -7 -14 -8 -15 -9 -16 -10 -16 -10 -15 -12 -13 -13 -13 -12 -10 -10 -9 -9 -8 -8 -9 -5 -9 -3 -10 -3 -11 -1 -12 -2 -16 -3 -18,0 0 1 15 0 16 1 15 2 14 3 12 3 12 4 10 4 10 3 10 2 8 2 8 2 7 0 8 1 9 0 8 0 9 0 10 1 8 1 8 1 8 1 7 1 5 0 6 0 6 0 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 13 9 12 8 11 6 12 4 11 3 11 1 12 0 13 0 14 0 14 -1 17 0 18 1 19 2 18 2 17 4 16 5 15 4 14 5 12 4 12 3 11 1 11 1 10 -1 10 -1 12 -1 14
106521195,7E:8A:AE:D6:C8:CD,30832,53.06,-71,-73,0 0 17 -2 19 -3 16 -5 14 -6 13 -5 12 -6 10 -4 9 -3 8 0 7 1 9 2 9 3 11 3 12 3 14 3 15 2 15 2 14 -1 13 -1 13 -2 11 -2 9 -2 7 0 5 1 4 2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -13 3 -12 3 -12 4 -10 5 -8 7 -6 9 -5 11 -5 12 -4 13 -5 15 -7 15 -6 16 -8 14 -8 14 -9 13 -11 10 -10 10 -9 9 -6 9 -5 10 -3 10 -2 11 -1 13 -1 15 0 17 -1,0 0 -13 13 -10 13 -10 14 -8 14 -6 13 -7 13 -5 11 -5 11 -5 10 -4 9 -5 8 -5 7 -6 7 -7 7 -6 7 -7 7 -8 8 -7 8 -7 7 -7 8 -6 6 -6 6 -6 6 -6 5 -5 4 -5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 17 4 16 1 16 1 15 -1 14 -3 13 -5 13 -7 13 -8 14 -9 14 -9 16 -10 16 -10 17 -8 17 -7 18 -6 17 -4 17 -3 15 -2 14 -4 13 -4 12 -5 11 -7 9 -8 9 -9 12 -9 13
106559669,7E:8A:AE:D6:C8:CD,30832,-26.06,-71,-73,0 0 -19 0 -19 2 -17 3 -17 3 -14 4 -14 4 -11 3 -10 1 -10 -1 -9 -3 -9 -4 -10 -5 -12 -5 -13 -6 -14 -6 -15 -5 -16 -4 -16 -3 -14 -2 -14 -1 -12 -1 -10 -1 -8 -2 -6 -3 -5 -3 -3 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 12 -3 12 -3 11 -4 9 -6 7 -7 6 -9 5 -11 5 -13 4 -15 5 -16 6 -18 7 -17 7 -16 8 -14 9 -13 9 -11 9 -11 8 -10 6 -10 4 -10 3 -11 1 -12 -1 -13 -1 -17 -1 -18 0,0 0 -2 16 -3 15 -1 15 0 14 1 14 3 13 2 12 1 11 2 10 1 8 0 9 0 8 -1 8 -1 9 -1 8 -1 9 -1 9 0 8 -1 9 -1 9 0 8 0 8 -1 6 -1 6 -2 5 -2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 13 9 13 8 12 6 12 4 12 3 11 1 12 -1 14 -1 15 -2 14 -2 17 -2 18 -2 19 0 18 1 17 3 17 4 15 4 14 4 12 3 12 2 11 1 11 -1 11 -2 10 -2 13 -2 15
106602295,7E:8A:AE:D6:C8:CD,0,-26.27,-71,-73,0 0 17 3 20 2 19 -1 17 -1 15 -2 13 -2 11 -1 9 0 8 2 8 3 8 5 8 6 9 7 11 8 12 7 13 7 14 6 14 5 13 4 13 3 11 2 9 1 6 2 5 2 3 3 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -12 4 -12 5 -11 6 -9 6 -6 7 -5 9 -4 11 -3 13 -2 14 -3 16 -3 18 -3 18 -4 16 -6 15 -7 14 -8 13 -8 12 -7 10 -6 10 -3 10 -1 10 1 10 2 12 2 15 4 17 4,0 0 4 -14 4 -17 2 -16 1 -16 0 -14 -1 -15 -2 -12 -1 -12 -1 -11 0 -10 0 -10 1 -9 1 -9 1 -10 3 -10 2 -11 3 -10 1 -11 1 -11 1 -10 1 -9 1 -9 1 -8 1 -6 1 -7 2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -16 -6 -16 -5 -15 -4 -14 -2 -14 -1 -13 1 -14 3 -14 5 -14 4 -16 5 -17 5 -19 4 -19 3 -20 2 -19 0 -19 -1 -17 -2 -16 -2 -14 -1 -13 -1 -12 1 -11 1 -11 4 -12 4 -13 5 -14
106679195,7E:8A:AE:D6:C8:CD,30944,-23.13,-71,-73,0 0 18 4 18 4 18 3 16 1 14 1 13 -1 12 -1 9 2 7 2 7 4 7 6 7 7 8 9 10 10 11 10 13 10 12 9 13 7 13 5 12 5 10 3 8 2 6 3 4 3 3 4 2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -12 6 -11 5 -10 6 -9 7 -6 8 -5 9 -2 11 -2 13 0 14 0 16 0 18 -1 18 -2 17 -2 16 -4 14 -5 13 -6 11 -5 10 -4 10 -2 10 1 9 1 10 4 11 6 14 5 16 6,0 0 -14 6 -16 8 -14 8 -13 8 -11 9 -10 9 -9 9 -8 7 -9 7 -7 6 -7 5 -8 5 -8 5 -9 4 -8 5 -9 5 -9 5 -9 5 -9 5 -8 6 -7 5 -7 4 -6 4 -6 3 -6 3 -5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 15 -8 14 -9 13 -9 11 -9 9 -10 8 -11 6 -13 6 -15 6 -15 6 -18 7 -18 7 -18 9 -17 9 -15 10 -15 11 -13 12 -11 10 -10 9 -11 10 -9 8 -10 6 -10 5 -11 4 -12 5 -14 5
106716063,7E:8A:AE:D6:C8:CD,30944,-17.12,-71,-73,0 0 -20 -5 -21 -2 -20 0 -19 1 -17 2 -15 1 -13 0 -11 -1 -9 -3 -9 -5 -9 -6 -9 -8 -10 -9 -12 -11 -13 -11 -14 -11 -15 -10 -15 -8 -15 -7 -14 -6 -12 -4 -11 -5 -8 -4 -6 -4 -4 -5 -2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 13 -3 12 -4 10 -5 9 -6 7 -7 5 -10 4 -12 3 -15 3 -16 3 -18 5 -18 5 -19 6 -18 7 -16 8 -16 8 -13 9 -12 8 -11 6 -11 3 -10 1 -11 -1 -12 -3 -14 -5 -18 -5 -20 -5,0 0 -11 10 -10 13 -10 13 -8 12 -6 12 -6 12 -5 10 -5 9 -4 9 -5 8 -5 7 -5 7 -6 6 -6 7 -7 8 -6 7 -8 7 -6 7 -6 7 -5 8 -5 7 -4 6 -4 5 -4 4 -4 4 -4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -1 15 0 15 -2 14 -4 13 -5 12 -6 11 -9 11 -11 11 -12 12 -12 13 -12 14 -12 15 -10 15 -9 15 -8 16 -6 14 -5 14 -4 12 -5 11 -5 11 -6 9 -7 8 -7 9 -9 9 -10 10
106776135,7E:8A:AE:D6:C8:CD,0,39.04,-71,-73,0 0 -18 2 -20 3 -19 4 -17 5 -15 5 -14 6 -11 4 -10 2 -10 0 -9 -2 -9 -4 -10 -5 -13 -5 -14 -6 -15 -6 -16 -5 -17 -4 -16 -2 -15 -2 -14 0 -13 0 -11 0 -9 -1 -6 -1 -5 -3 -4 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 12 -3 11 -3 10 -4 9 -5 7 -7 5 -9 5 -11 4 -13 5 -15 5 -16 6 -17 7 -17 8 -15 9 -14 10 -13 10 -11 10 -10 9 -10 7 -9 6 -10 3 -10 1 -12 0 -13 0 -16 -1 -18 -1,0 0 3 -15 2 -16 1 -16 0 -15 0 -13 -1 -14 -2 -13 -1 -11 -1 -11 -1 -10 -1 -9 0 -9 0 -9 1 -10 1 -11 2 -11 1 -11 1 -10 1 -10 0 -10 0 -9 0 -8 1 -7 1 -7 1 -6 1 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -17 -7 -16 -7 -15 -5 -15 -3 -13 -2 -14 0 -14 2 -14 4 -16 4 -17 4 -18 5 -19 3 -20 2 -18 1 -19 0 -18 -2 -16 -2 -16 -2 -14 -2 -13 0 -13 1 -12 1 -11 3 -12 3 -13 3 -14
106817319,7E:8A:AE:D6:C8:CD,31008,-90.00,-71,-73,0 0 10 -16 11 -18 9 -17 7 -16 6 -16 4 -14 4 -11 5 -8 5 -7 6 -6 9 -5 10 -5 12 -5 14 -6 14 -7 14 -8 13 -10 12 -9 11 -10 10 -11 8 -9 6 -8 5 -6 5 -4 4 -1 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -10 -8 -8 -8 -9 -6 -8 -4 -9 -1 -10 1 -10 3 -12 3 -13 4 -14 5 -17 4 -18 4 -18 2 -18 1 -17 -1 -17 -2 -15 -1 -14 0 -12 1 -11 3 -10 5 -9 6 -9 8 -10 11 -12 13 -13,0 0 -13 3 -16 5 -13 6 -13 6 -12 6 -12 7 -11 6 -10 6 -9 6 -8 5 -8 4 -9 4 -9 3 -10 4 -10 4 -10 3 -10 4 -10 4 -9 4 -9 4 -8 3 -8 3 -7 3 -6 1 -6 1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 14 -10 13 -10 12 -10 10 -10 9 -11 7 -13 6 -15 5 -15 4 -16 5 -19 4 -19 5 -19 6 -18 7 -17 7 -16 9 -14 9 -13 9 -10 9 -11 8 -11 5 -11 5 -11 3 -11 3 -13 3 -14 3
106947471,7E:8A:AE:D6:C8:CD,0,29.37,-71,-73,0 0 -17 5 -19 6 -17 7 -15 8 -13 8 -12 7 -10 6 -9 3 -8 2 -9 -1 -10 -3 -11 -4 -12 -4 -14 -4 -15 -4 -16 -4 -16 -3 -16 -1 -15 0 -14 1 -12 1 -10 1 -8 0 -6 -1 -5 -2 -4 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 11 2 11 2 9 -1 9 -2 8 -4 7 -6 7 -8 7 -10 8 -11 9 -13 10 -13 12 -12 13 -11 13 -10 13 -9 13 -7 12 -7 11 -6 9 -7 7 -8 5 -9 3 -10 3 -13 2 -15 2 -18 2,0 0 -6 -13 -8 -14 -8 -13 -9 -12 -9 -11 -9 -10 -10 -9 -8 -7 -8 -8 -7 -7 -6 -8 -5 -7 -5 -8 -6 -9 -6 -8 -6 -9 -6 -9 -6 -9 -7 -7 -6 -8 -6 -7 -6 -7 -5 -5 -4 -6 -4 -6 -3 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -9 -15 -8 -13 -9 -12 -9 -11 -9 -9 -10 -8 -11 -7 -14 -7 -14 -6 -15 -7 -16 -7 -17 -9 -17 -10 -17 -10 -16 -11 -14 -11 -13 -11 -11 -10 -9 -10 -11 -8 -10 -7 -11 -6 -9 -6 -10 -5 -12 -6 -14
106989373,7E:8A:AE:D6:C8:CD,31040,-6.07,-71,-73,0 0 6 -17 5 -20 4 -19 3 -18 1 -16 1 -14 1 -12 2 -10 3 -8 5 -6 7 -6 8 -6 10 -7 11 -9 12 -10 12 -11 12 -12 10 -12 9 -12 7 -12 6 -11 4 -8 4 -7 4 -5 4 -2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -4 -12 -5 -10 -6 -9 -5 -6 -7 -4 -8 -3 -10 -2 -12 -1 -14 -2 -15 -2 -17 -2 -19 -3 -19 -5 -18 -5 -16 -7 -15 -7 -14 -6 -13 -5 -11 -2 -10 0 -10 2 -10 4 -11 5 -12 7 -14 8 -16,0 0 -2 -14 -4 -18 -5 -16 -4 -15 -6 -13 -7 -13 -6 -11 -5 -11 -5 -11 -5 -10 -4 -10 -4 -9 -3 -8 -4 -10 -4 -11 -4 -11 -4 -11 -3 -10 -4 -10 -4 -10 -4 -9 -3 -8 -3 -8 -3 -7 -1 -7 -1 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -15 -11 -14 -10 -13 -9 -13 -7 -13 -4 -13 -4 -14 -2 -15 -1 -17 -1 -18 -1 -19 -1 -20 -2 -21 -4 -20 -4 -18 -5 -18 -8 -16 -7 -15 -6 -13 -6 -13 -5 -12 -4 -12 -2 -12 -2 -12 -1 -13 -2 -15
